Species,12/28/11,4/3/12,8/7/12,11/6/12,1/26/13,2/8/13,2/5/13,3/24/13,4/7/13,4/29/13,7/14/13,9/3/13,9/24/13,11/10/13,12/14/13,1/19/14,2/17/14,3/23/14,5/4/14,6/16/14,7/24/14,8/22/14,8/25/14,9/28/14,11/16/14,12/7/14,12/17/14,1/6/15,1/14/15,1/25/15,2/8/15,2/23/15,3/8/15,3/24/15,4/4/15,4/19/15,5/3/15,5/31/15,6/14/15,7/8/15,7/9/15,7/10/15,7/11/15,7/12/15,7/15/15,7/19/15,7/26/15,8/23/15,9/6/15,9/16/15,10/11/15,11/8/15,11/22/15,12/27/15,1/10/16,1/24/16,2/7/16,2/28/16,3/13/16,3/27/16,4/24/16,5/8/16,5/22/16,6/5/16,6/15/16,6/19/16,6/26/16,7/3/16,7/19/16,7/31/16,8/14/16,9/4/16,9/11/16,10/8/16,10/17/16,10/26/16,11/5/16,11/9/16,11/10/16,11/13/16,11/20/16,11/27/16,12/1/16,12/3/16,12/4/16,12/11/16,12/17/16,12/25/16,1/1/17,1/8/17,1/15/17,1/22/17,1/31/17,2/11/17,2/26/17,3/13/17,4/16/17,4/30/17,5/14/17,5/28/17,6/25/17,7/17/17,8/13/17,9/16/17,10/15/17,10/25/17,11/9/17,12/3/17,12/10/17,12/31/17,1/14/18,1/24/18,2/12/18,2/25/18,3/10/18,3/26/18,4/8/18,4/20/18,5/13/18,5/27/18,6/10/18,6/24/18,7/1/18,7/17/18,7/18/18,7/29/18,8/11/18,8/25/18,8/31/18,9/1/18,9/18/18,9/19/18,9/24/18,9/29/18,10/3/18,10/7/18,10/17/18,11/4/18,11/14/18,11/24/18,12/1/18,12/12/18,12/25/18,1/13/19,1/27/19,2/10/19,2/24/19,3/18/19,3/31/19,4/14/19,4/28/19,5/12/19,5/19/19,6/2/19,6/16/19,6/23/19,7/14/19,7/28/19,8/11/19
Blautia_hydrogenotrophica,0.009,0.006,0.019,0.015,0.005,0.009,,0.0,0.0,0.007,0.007,0.007,0.033,0.014,0.001,0.017,,0.0,0.0,0.0,,0.003,0.007,0.0,0.0,0.009,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.0,0.002,0.0,0.002,0.002,0.001,0.009,0.0,0.0,0.007,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burkholderia_cenocepacia,0.009,0.013,0.009,0.01,0.024,0.043,,0.023,0.068,0.017,0.017,0.009,0.02,0.019,0.014,0.028,,0.014,0.024,0.019,,0.026,0.014,0.018,0.017,0.014,0.02,0.038,0.031,0.044,0.014,0.018,0.018,0.018,0.02,0.013,0.024,0.024,0.018,0.021,0.016,0.055,0.014,0.028,0.02,0.039,0.023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burkholderia_unclassified,0.0,0.034,0.012,0.007,0.039,0.076,,0.079,0.177,0.0,0.056,0.016,0.07,0.021,0.019,0.05,,0.0,0.033,0.014,,0.049,0.016,0.049,0.046,0.014,0.046,0.053,0.017,0.012,0.0,0.056,0.02,0.03,0.0,0.0,0.001,0.001,0.042,0.0,0.011,0.094,0.025,0.102,0.062,0.031,0.031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burkholderiales_bacterium_1_1_47,0.007,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.005,0.02,0.021,0.006,0.032,0.018,,0.039,0.027,0.069,,0.029,0.022,0.025,0.057,0.041,0.118,0.023,0.053,0.033,0.051,0.078,0.045,0.034,0.034,0.023,0.041,0.041,0.018,0.011,0.015,0.001,0.007,0.012,0.02,0.038,0.041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C2likevirus_unclassified,0.015,0.003,4.471,0.0,0.0,0.221,,0.005,0.0,0.008,0.0,0.013,0.0,0.011,0.008,0.094,,0.0,0.0,0.001,,0.003,0.001,0.002,0.013,0.004,0.0,0.311,0.001,0.055,0.001,0.002,0.005,0.003,0.002,0.044,0.003,0.003,0.0,0.007,0.0,0.0,0.0,0.0,0.0,0.002,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Campylobacter_showae,0.0,0.0,0.0,0.0,0.0,0.015,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004,,0.0,0.002,0.0,,0.0,0.0,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Citrobacter_freundii,0.0,0.0,0.0,0.0,0.0,7.913,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.123,0.123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Citrobacter_unclassified,0.0,0.0,0.0,0.0,0.0,0.346,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.055,0.055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clostridiaceae_bacterium_JC118,0.006,0.02,0.012,0.001,0.012,0.023,,0.003,0.0,0.0,0.016,0.01,0.009,0.013,0.002,0.003,,0.011,0.048,0.039,,0.003,0.018,0.01,0.012,0.017,0.015,0.009,0.019,0.017,0.014,0.0,0.013,0.067,0.014,0.096,0.08,0.08,0.018,0.027,0.006,0.001,0.008,0.017,0.013,0.013,0.011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clostridiales_bacterium_1_7_47FAA,0.0,0.004,0.012,0.003,0.001,0.0,,0.0,0.0,0.002,0.008,0.006,0.002,0.0,0.015,0.003,,0.01,0.023,0.021,,0.012,0.039,0.003,0.015,0.029,0.011,0.008,0.008,0.02,0.018,0.007,0.016,0.013,0.006,0.018,0.009,0.009,0.01,0.006,0.014,0.0,0.013,0.022,0.01,0.006,0.021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clostridium_asparagiforme,0.002,0.007,0.035,0.043,0.041,0.022,,0.012,0.011,0.016,0.019,0.031,0.024,0.014,0.065,0.001,,0.024,0.026,0.042,,0.018,0.048,0.005,0.023,0.027,0.009,0.005,0.016,0.017,0.023,0.027,0.014,0.024,0.011,0.016,0.009,0.009,0.018,0.01,0.012,0.0,0.009,0.007,0.011,0.013,0.035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clostridium_bartlettii,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clostridium_bolteae,0.324,0.014,0.063,0.011,0.003,0.013,,0.005,0.007,0.006,0.017,0.003,0.016,0.013,0.004,0.007,,0.01,0.035,0.012,,0.04,0.133,0.0,0.008,0.029,0.0,0.017,0.009,0.004,0.007,0.002,0.012,0.073,0.005,0.034,0.016,0.016,0.34,0.002,0.001,0.0,0.012,0.002,0.0,0.045,0.002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clostridium_citroniae,0.0,0.0,0.001,0.0,0.0,0.001,,0.0,0.0,0.0,0.003,0.006,0.003,0.0,0.004,0.0,,0.01,0.003,0.008,,0.005,0.013,0.004,0.027,0.016,0.005,0.006,0.001,0.006,0.009,0.007,0.005,0.0,0.002,0.005,0.003,0.003,0.002,0.0,0.008,0.0,0.012,0.022,0.005,0.005,0.009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clostridium_hathewayi,0.494,0.015,0.092,0.03,0.026,0.158,,0.056,0.235,0.075,0.011,0.027,0.007,0.014,0.103,0.065,,0.02,0.327,0.036,,0.071,0.371,0.008,0.04,0.104,0.022,0.141,0.035,0.008,0.015,0.003,0.014,0.435,0.016,0.307,0.162,0.162,0.632,0.014,0.0,0.012,0.066,0.048,0.0,0.004,0.005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clostridium_innocuum,0.009,0.0,0.01,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011,,0.0,0.008,0.0,,0.004,0.0,0.0,0.0,0.017,0.0,0.014,0.012,0.0,0.0,0.0,0.005,0.009,0.009,0.007,0.0,0.0,0.0,0.011,0.0,0.013,0.001,0.003,0.0,0.004,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clostridium_leptum,0.037,0.028,0.141,0.008,0.002,0.0,,0.006,0.0,0.05,0.002,0.001,0.005,0.008,0.047,0.153,,0.0,0.01,0.003,,0.009,0.008,0.003,0.003,0.013,0.0,0.0,0.0,0.012,0.0,0.019,0.076,0.007,0.015,0.017,0.101,0.101,0.05,0.007,0.0,0.0,0.106,0.116,0.001,0.019,0.211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clostridium_nexile,0.484,0.02,0.643,0.096,0.025,0.176,,0.046,0.555,0.066,0.0,0.04,0.007,0.0,0.214,0.223,,0.074,3.08,0.163,,0.269,0.842,0.057,0.054,0.777,0.038,1.81,0.16,0.122,0.079,0.035,0.103,3.247,0.124,2.946,2.302,2.302,5.792,0.018,0.0,0.204,2.483,0.12,0.006,0.099,0.087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clostridium_scindens,0.002,0.001,0.008,0.002,0.001,0.0,,0.0,0.0,0.008,0.005,0.003,0.002,0.003,0.007,0.008,,0.003,0.002,0.002,,0.002,0.004,0.004,0.001,0.004,0.0,0.0,0.001,0.0,0.011,0.029,0.029,0.015,0.062,0.022,0.036,0.036,0.02,0.016,0.008,0.0,0.007,0.003,0.015,0.035,0.017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clostridium_sp_L2_50,0.0,0.0,7.787,6.047,2.182,4.268,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clostridium_symbiosum,0.357,0.001,0.01,0.0,0.005,0.044,,0.008,0.04,0.012,0.017,0.0,0.001,0.0,0.0,0.0,,0.0,0.032,0.0,,0.033,0.147,0.0,0.038,0.005,0.002,0.058,0.008,0.038,0.015,0.001,0.006,0.206,0.006,0.12,0.125,0.125,0.475,0.004,0.0,0.0,0.011,0.021,0.0,0.065,0.012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Collinsella_aerofaciens,0.526,0.259,1.281,0.336,0.248,0.181,,0.12,0.16,0.486,0.339,0.299,0.454,0.175,0.211,0.723,,0.129,0.195,0.136,,0.862,0.849,0.31,0.528,0.632,0.239,0.101,0.159,0.279,0.188,0.38,0.758,0.627,0.671,0.164,0.982,0.982,0.822,1.02,0.343,0.403,0.809,0.365,0.111,0.639,0.671,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coprobacillus_sp_29_1,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.292,0.0,0.0,0.0,0.0,0.177,0.0,0.0,0.0,0.709,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coprobacter_fastidiosus,0.062,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coprococcus_catus,0.041,0.045,0.198,0.037,0.044,0.088,,0.038,0.078,0.139,0.053,0.044,0.045,0.037,0.043,0.097,,0.13,0.044,0.081,,0.393,0.18,0.154,0.105,0.358,0.083,0.054,0.066,0.132,0.101,0.321,0.391,0.227,0.397,0.096,0.277,0.277,0.343,0.458,0.119,0.276,0.294,0.089,0.094,0.219,0.272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coprococcus_comes,0.049,0.359,0.266,0.017,0.054,0.106,,0.47,0.438,0.292,1.401,1.346,0.503,1.078,0.084,0.05,,0.324,0.155,0.372,,0.876,0.051,0.321,1.344,0.534,0.831,0.166,0.191,0.16,0.679,0.461,0.238,0.162,0.322,0.136,0.536,0.536,0.09,0.593,0.624,0.282,0.219,0.187,0.38,0.459,0.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coprococcus_sp_ART55_1,1.267,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.923,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Desulfovibrio_desulfuricans,0.008,0.004,0.005,0.0,0.0,0.0,,0.0,0.0,0.012,0.002,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006,0.0,0.0,0.0,0.0,0.0,0.004,0.004,0.0,0.0,0.0,0.006,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Desulfovibrio_piger,0.28,0.019,0.26,0.177,0.179,0.268,,0.218,0.218,0.212,0.12,0.071,0.067,0.062,0.146,0.238,,0.137,0.209,0.126,,0.274,0.211,0.137,0.213,0.383,0.156,0.242,0.337,0.233,0.321,0.252,0.193,0.319,0.298,0.182,0.362,0.362,0.339,0.265,0.018,0.076,0.12,0.055,0.119,0.353,0.527,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dialister_invisus,2.931,9.761,0.986,0.0,0.0,0.0,,0.0,0.0,0.0,0.037,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.001,,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.007,0.0,0.003,0.001,0.0,0.0,0.007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dialister_succinatiphilus,0.0,0.0,0.001,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026,0.026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dorea_formicigenerans,0.175,0.224,0.532,0.234,0.236,0.329,,0.147,0.173,0.704,0.184,0.223,0.078,0.055,0.185,0.143,,0.097,0.145,0.156,,0.616,0.345,0.304,0.198,0.485,0.189,0.122,0.171,0.201,0.303,0.478,0.524,0.476,0.771,0.154,0.541,0.541,0.406,1.074,0.36,0.341,0.397,0.172,0.203,0.491,0.597,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dorea_longicatena,1.12,1.429,2.775,1.167,0.634,0.691,,0.788,1.338,1.584,1.147,1.195,1.668,1.441,0.578,1.8,,0.323,1.146,0.591,,1.818,0.76,0.51,1.706,1.381,0.871,0.74,0.603,0.932,1.05,1.66,1.332,1.22,1.418,0.422,1.422,1.422,1.263,1.712,1.239,0.768,1.117,0.717,0.771,1.219,1.591,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eggerthella_lenta,0.0,0.0,0.003,0.0,0.0,0.0,,0.0,0.0,0.0,0.005,0.0,0.0,0.0,0.0,0.0,,0.0,0.002,0.0,,0.0,0.009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.008,0.001,0.0,0.003,0.003,0.02,0.003,0.0,0.0,0.008,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eggerthella_unclassified,0.007,0.005,0.027,0.007,0.006,0.011,,0.0,0.0,0.0,0.017,0.0,0.003,0.001,0.001,0.01,,0.0,0.012,0.001,,0.046,0.115,0.0,0.0,0.018,0.001,0.002,0.004,0.0,0.0,0.007,0.012,0.041,0.01,0.008,0.011,0.011,0.109,0.016,0.003,0.02,0.022,0.003,0.0,0.01,0.003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eikenella_corrodens,0.012,0.0,0.0,0.0,0.0,0.028,,0.007,0.076,0.003,0.0,0.0,0.002,0.0,0.0,0.024,,0.0,0.011,0.0,,0.005,0.007,0.0,0.022,0.0,0.003,0.008,0.0,0.0,0.0,0.0,0.0,0.035,0.0,0.01,0.011,0.011,0.065,0.0,0.001,0.059,0.053,0.042,0.0,0.014,0.007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Enterobacter_cloacae,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.562,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Enterobacteria_phage_HK97,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,3.305,6.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Enterobacteriaceae_bacterium_9_2_54FAA,0.0,0.0,0.0,0.0,0.0,0.0,,3.098,1.488,2.238,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Enterococcus_faecium,0.0,0.0,0.0,0.0,0.012,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.007,,0.002,0.007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Erysipelotrichaceae_bacterium_21_3,0.013,0.016,0.016,0.011,0.009,0.006,,0.005,0.0,0.005,0.006,0.002,0.001,0.001,0.003,0.005,,0.005,0.011,0.002,,0.004,0.014,0.002,0.003,0.01,0.0,0.001,0.01,0.004,0.004,0.008,0.01,0.019,0.01,0.015,0.009,0.009,0.008,0.017,0.0,0.0,0.003,0.0,0.001,0.004,0.008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Erysipelotrichaceae_bacterium_2_2_44A,0.005,0.001,0.015,0.005,0.0,0.004,,0.0,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.011,,0.0,0.084,0.001,,0.005,0.081,0.001,0.001,0.011,0.0,0.016,0.022,0.001,0.001,0.0,0.012,0.117,0.012,0.108,0.094,0.094,0.258,0.009,0.0,0.003,0.093,0.0,0.0,0.002,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
